name,gmap_id,latitude,longitude,category,avg_rating,num_of_reviews,url,County,City,State,Country
Palms Inn,0x88e77bee8518ceef:0xbbd071e414788286,28.5106252,-81.418326,Hotel,2.8,18,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77bee8518ceef:0xbbd071e414788286?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Building 71,0x88dd8081a8007249:0xaebc4131dc396da9,28.402667899999997,-81.4684089,Hotel,4.8,25,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd8081a8007249:0xaebc4131dc396da9?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Luxurious Apts in Brickell,0x88d9b68731cfdd8f:0xe4dcbb0342098ef,25.7592437,-80.1935709,Hotel,5.0,5,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b68731cfdd8f:0xe4dcbb0342098ef?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami,Florida,United States
Times Square Towers,0x89c258ffcaad98a9:0x2c9c3733efc6ef43,40.755883399999995,-73.9800775,Hotel,4.2,5,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c258ffcaad98a9:0x2c9c3733efc6ef43?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Gilt,0x89c258fc6c3037df:0x4c0fd32b72899779,40.7578805,-73.97515159999999,Hotel,4.4,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c258fc6c3037df:0x4c0fd32b72899779?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Lake Inn Orlando,0x88e77ba378b3a00b:0x4f00acb20a19abb9,28.500407799999998,-81.3964433,Hotel,5.0,2,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77ba378b3a00b:0x4f00acb20a19abb9?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Studio in Times Square,0x89c2585240000001:0xb38aa8ec0cc82533,40.7578645,-73.983992,Hotel,3.2,33,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c2585240000001:0xb38aa8ec0cc82533?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Lifestyles Resorts & Spa,0x88e778dcc76bc015:0xf6c9873398e9f2f8,28.517803999999998,-81.48186439999999,Resort hotel,3.4,5,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e778dcc76bc015:0xf6c9873398e9f2f8?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Harlem 144 Guest House,0x89c2f612248002bd:0x110c9492e7d1b9b7,40.8051247,-73.9495755,Hotel,3.3,4,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c2f612248002bd:0x110c9492e7d1b9b7?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Building 63,0x88dd807fc80ee109:0xb4294b11264f23aa,28.403503699999998,-81.4710006,Hotel,4.7,6,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd807fc80ee109:0xb4294b11264f23aa?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Oakwood Residence Sixth Avenue,0x89c259a8d3694aad:0x53bb7b3cfa9dcc1a,40.748154299999996,-73.9886899,Hotel,4.3,15,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c259a8d3694aad:0x53bb7b3cfa9dcc1a?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Preferred Guest Holdings,0x88e77ef85700ebc5:0x4ff530153fe80c4d,28.453958099999998,-81.46342369999999,Resort hotel,4.1,13,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77ef85700ebc5:0x4ff530153fe80c4d?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Blue Heron 1005 Rental Condo bh4rent.com,0x88dd8031130037e5:0xfb16d93b5d9a8016,28.3686145,-81.5015571,Resort hotel,4.5,25,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd8031130037e5:0xfb16d93b5d9a8016?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Building 69,0x88dd80812203577d:0x5f77db1e909b56e9,28.4011894,-81.46872929999999,Hotel,4.8,25,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd80812203577d:0x5f77db1e909b56e9?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Kiara's Rooms,0x89c2f720760a3b95:0xcc98298b78d187f9,40.807007399999996,-73.9411064,Hotel,4.0,2,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c2f720760a3b95:0xcc98298b78d187f9?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Art Deco Wing of The Betsy Hotel,0x88d9b490154128af:0x4d142ebcb5fa2c50,25.786582799999998,-80.1303312,Hotel,4.2,5,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b490154128af:0x4d142ebcb5fa2c50?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami Beach,Florida,United States
The Balfour Hotel,0x88d9b59de9f49399:0xc08ac4428d184e9,25.7731258,-80.1325214,Hotel,4.6,7,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b59de9f49399:0xc08ac4428d184e9?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami Beach,Florida,United States
Nadlan Management Rooms,0x88d9b6bce4e6ce1f:0x6f6e7b92ee4d9d64,25.7844506,-80.2006561,Hotel,3.4,5,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b6bce4e6ce1f:0x6f6e7b92ee4d9d64?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami,Florida,United States
Orlando - Intteli Fun Rentals,0x88e77e78d34c5cd3:0xccd49c6b27970cd6,28.444224,-81.4301143,Resort hotel,2.2,15,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77e78d34c5cd3:0xccd49c6b27970cd6?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
CFI Westgate Resorts,0x88e77d78d304d599:0xc63d0e631f811773,28.458469599999997,-81.4100162,Resort hotel,4.2,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77d78d304d599:0xc63d0e631f811773?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Kendall Hotel & Suites,0x88d9c717c31b8e99:0x445110074cc228a3,25.68742,-80.34309999999999,Hotel,3.8,4,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9c717c31b8e99:0x445110074cc228a3?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami,Florida,United States
"The Florida Hotel & Conference Center, BW Premier Collection",0x88e77dd4b14a224d:0x6aa10d93b20597ae,28.4448902,-81.3960048,Hotel,4.5,15,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77dd4b14a224d:0x6aa10d93b20597ae?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Hotel orlando,0x88e77beff23437ad:0x8154cfc2a9cdf8ea,28.507760599999997,-81.4163775,Hotel,3.0,6,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77beff23437ad:0x8154cfc2a9cdf8ea?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
THYME at Carillon Miami Wellness Resort,0x88d9b2dded8e2225:0x24ea0d7a0fcd2c2c,25.853068,-80.11956099999999,Hotel,4.3,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b2dded8e2225:0x24ea0d7a0fcd2c2c?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami Beach,Florida,United States
The New Yorker Hotel,0x88d9b36276aa5115:0xecfc75dfa992d136,25.8359098,-80.1843394,Hotel,4.7,13,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b36276aa5115:0xecfc75dfa992d136?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami,Florida,United States
Hotel Chelsea,0x89c25962e0e4e2ab:0x9ccd84bb99a80903,40.744334099999996,-73.9968729,Hotel,4.5,14,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c25962e0e4e2ab:0x9ccd84bb99a80903?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
New York Gisele's Guest House,0x89c2f6118600e6e5:0x2be809a66e730b60,40.804538199999996,-73.94989,Hotel,4.8,4,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c2f6118600e6e5:0x2be809a66e730b60?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Jasper Miami,0x88d9b58a9f107375:0xdf879c0672a318f6,25.773783299999998,-80.1357065,Hotel,3.4,5,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b58a9f107375:0xdf879c0672a318f6?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami Beach,Florida,United States
Dream Destinations LLC,0x88d9b4f21620fb63:0xd08081bc49645791,25.771562799999998,-80.1333168,Hotel,4.8,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b4f21620fb63:0xd08081bc49645791?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami Beach,Florida,United States
Tempo Miami - A RockResort,0x88d9b69e19b574f9:0x640009a55b9a4ca3,25.785186099999997,-80.1901029,Hotel,5.0,3,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b69e19b574f9:0x640009a55b9a4ca3?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami,Florida,United States
MID Store,0x88e77f52baf23513:0xac340268c951d93a,28.457463699999998,-81.4703158,Hotel,1.0,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77f52baf23513:0xac340268c951d93a?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Hotel New York,0x89c259f7010fc943:0xdfe1f9f7fbdc996f,40.7548646,-73.9730573,Hotel,5.0,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c259f7010fc943:0xdfe1f9f7fbdc996f?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Roco,0x88d9c749ad7179e1:0x96a793f6ef3126a0,25.7000615,-80.35765529999999,Hotel,1.0,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9c749ad7179e1:0x96a793f6ef3126a0?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami,Florida,United States
Sonder at Vista Cay,0x88e77f42a4b9a1d7:0x1458a5f58c8eab15,28.424764099999997,-81.4441063,Hotel,5.0,6,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77f42a4b9a1d7:0x1458a5f58c8eab15?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
The Best Miami Hotel,0x88d9c7f1d1a779df:0xbc923669c3837bf4,25.7054282,-80.29106949999999,Hotel,2.4,98,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9c7f1d1a779df:0xbc923669c3837bf4?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami,Florida,United States
Ventura Resort Rentals Orlando,0x88e7648b437faec1:0xfaebd98e821b5831,28.5175025,-81.2924529,Resort hotel,4.0,48,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e7648b437faec1:0xfaebd98e821b5831?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Hotel Motel Prestige Place #2,0x88d9b11ed42d5b9b:0xde8ebc468d453aa7,25.8327274,-80.22686139999999,Hotel,4.4,5,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b11ed42d5b9b:0xde8ebc468d453aa7?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami,Florida,United States
Nuovo Miami Flat,0x88d9b68731cfdd8f:0xde801e406f91606d,25.7592437,-80.1935709,Hotel,3.0,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b68731cfdd8f:0xde801e406f91606d?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami,Florida,United States
Terracotta Theatre Suites,0x88e76363450fb9b3:0x958058e015ed1710,28.483158799999998,-81.3077156,Hotel,4.8,4,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e76363450fb9b3:0x958058e015ed1710?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Couch & Sofa Dr.®️ NYC,0x89c258fcd0b5f04f:0x52826fe6e8398c74,40.756419199999996,-73.97173169999999,Hotel supply store,4.4,38,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c258fcd0b5f04f:0x52826fe6e8398c74?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Rodeway Inn Near Florida Mall,0x88e77c42ddd3cd2d:0xe39ec54b1bcc3f67,28.468061,-81.39614399999999,Hotel,2.7,238,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77c42ddd3cd2d:0xe39ec54b1bcc3f67?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Pago Pago Longhouse at Disney's Polynesian Village Resort,0x88dd7e18963e85fd:0x9fcb6c897b3b28f0,28.4053553,-81.5825079,Hotel,4.6,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd7e18963e85fd:0x9fcb6c897b3b28f0?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Building 67,0x88dd8080e4249c0f:0xa8f299f7138ce248,28.4016834,-81.4695448,Hotel,4.9,27,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd8080e4249c0f:0xa8f299f7138ce248?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Chic Apartments at Miami Beach,0x88d9b36158b3a55f:0xa82f05bedf34d1d7,25.8040769,-80.1260671,Hotel,4.3,44,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b36158b3a55f:0xa82f05bedf34d1d7?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami Beach,Florida,United States
Westgate Resorts - Lake Ellenor,0x88e77c43d4f6cd2b:0x1a911bd3a2a6d7f,28.4677474,-81.400059,Resort hotel,3.2,87,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77c43d4f6cd2b:0x1a911bd3a2a6d7f?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Gonzalo,0x88d9b8d6e54dcf91:0xacf69be3983bf999,25.764454999999998,-80.35815699999999,Hotel,3.5,16,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b8d6e54dcf91:0xacf69be3983bf999?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami,Florida,United States
We Own South Beach Concierge,0x88def621af8cecfb:0x7e6d2c4c1e03e6b3,25.8130331,-80.13523529999999,Hotel,5.0,118,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88def621af8cecfb:0x7e6d2c4c1e03e6b3?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami Beach,Florida,United States
Hyatt Centric 39th & 5th New York,0x89c25900c0bc4039:0xabae9eb47d4ddf31,40.7509292,-73.9814711,Hotel,4.0,5,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c25900c0bc4039:0xabae9eb47d4ddf31?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Chelsea Antiques Building,0x89c259a50348e327:0x382bee9511791d35,40.744192,-73.99255099999999,Hotel,5.0,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c259a50348e327:0x382bee9511791d35?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Sandbar Rooftop,0x89c259d10e654f89:0x62d82b277df2095a,40.7455564,-73.9937483,Hotel,4.0,78,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c259d10e654f89:0x62d82b277df2095a?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Motel Ankara,0x88d9b36273d29b25:0xf31e165ff6bc5f56,25.8002143,-80.1273873,Hotel,5.0,2,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b36273d29b25:0xf31e165ff6bc5f56?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami Beach,Florida,United States
Hotel Marriot downtown,0x89c25ba00e828b77:0x64c926d1109040b,40.7095431,-74.0142547,Hotel,4.8,13,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c25ba00e828b77:0x64c926d1109040b?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
HOLLIDAY INN NYC TIME SQUARE,0x89c259811dd73a8d:0xa1c89f43647fa796,40.755229,-73.99171199999999,Hotel,4.0,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c259811dd73a8d:0xa1c89f43647fa796?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
ヒルトン ガーデンインタイムズスクエア,0x89c258568ff26bdf:0x3e4590ee94f6620c,40.7721162,-73.96458609999999,Hotel,4.0,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c258568ff26bdf:0x3e4590ee94f6620c?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
AllExpeditions,0x88d9b68242c3e9c7:0xf38d497c5ecce9b9,25.781091999999997,-80.212476,Hotel,4.8,4,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b68242c3e9c7:0xf38d497c5ecce9b9?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami,Florida,United States
Mayor Hotel,0x89c25a288e5a62c3:0x35482cdd1ae4b39f,40.7141397,-73.993837,Hotel,2.8,28,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c25a288e5a62c3:0x35482cdd1ae4b39f?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Oak Room,0x89c258fff273dd6b:0x905892ec71a7f300,40.7559768,-73.98227229999999,Hotel,4.6,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c258fff273dd6b:0x905892ec71a7f300?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Sadigo Court,0x88d9b49cdabfcf2b:0x1516a5348e901ed0,25.7960528,-80.1309345,Hotel,4.0,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b49cdabfcf2b:0x1516a5348e901ed0?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami Beach,Florida,United States
Lyx Miami Suites,0x88d9b6873ab406a9:0xa965986cbd6fb21d,25.7593645,-80.1933134,Hotel,2.1,58,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b6873ab406a9:0xa965986cbd6fb21d?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami,Florida,United States
Apart Hotel Miami,0x88d9b3685641e7ff:0x914cee52c68014b5,25.813333099999998,-80.1232138,Hotel,3.7,3,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b3685641e7ff:0x914cee52c68014b5?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami Beach,Florida,United States
Jlk Lodge #767,0x88d9c4713bfe52d7:0x48d7c0036c7103cc,25.5964368,-80.359264,Hotel,5.0,2,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9c4713bfe52d7:0x48d7c0036c7103cc?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami,Florida,United States
Ambersweet,0x88d9b344d6068503:0x7a6657a0b24c9d2e,25.8127277,-80.12261749999999,Hotel,4.1,26,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b344d6068503:0x7a6657a0b24c9d2e?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami Beach,Florida,United States
34th & Madison by BridgeStreet,0x89c25907765544c3:0x3ba67f2451cb649d,40.747669599999995,-73.9821995,Hotel,3.8,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c25907765544c3:0x3ba67f2451cb649d?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Macy's Empire Hotel,0x89c259a8c72ce547:0x5219ec5e1e757d75,40.747208199999996,-73.98794509999999,Hotel,3.3,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c259a8c72ce547:0x5219ec5e1e757d75?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Hotel Double Tree Hilton,0x89c25855c07cf307:0xb8550f641034c916,40.7590484,-73.98460299999999,Hotel,3.6,5,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c25855c07cf307:0xb8550f641034c916?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Marine grill mural,0x89c25bf0c45b4bc1:0xcd6d61428c50a28,40.710429999999995,-74.0081348,Hotel,5.0,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c25bf0c45b4bc1:0xcd6d61428c50a28?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Hotel Dorset,0x89c258f983c4cf7f:0xdd393060b26d3309,40.761803799999996,-73.9775202,Hotel,3.0,2,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c258f983c4cf7f:0xdd393060b26d3309?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Building 70,0x88dd808103729dff:0x86a72246bebaf2d4,28.402098799999997,-81.468829,Hotel,4.7,18,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd808103729dff:0x86a72246bebaf2d4?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Luxury Travel,0x88d9b69cd6fb267b:0x55ce1aa39e4c819d,25.769090199999997,-80.1904204,Hotel,2.7,3,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b69cd6fb267b:0x55ce1aa39e4c819d?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami,Florida,United States
31 Street Broadway Hotel,0x89c25980c90c93d7:0xcb0f33c059c23944,40.747211,-73.9878074,Hotel,1.2,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c25980c90c93d7:0xcb0f33c059c23944?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Sorrento Tower,0x88d9b3698b17bf55:0x4c6e0f36a729ac11,25.8162956,-80.12183519999999,Hotel,4.6,36,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b3698b17bf55:0x4c6e0f36a729ac11?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami Beach,Florida,United States
Barbizon Hotel,0x89c258ef2ff79045:0xdd46358bcb2c6c3a,40.7644486,-73.9662417,Hotel,4.9,7,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c258ef2ff79045:0xdd46358bcb2c6c3a?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
JW Marriott Pool Deck,0x88dd80aaa29f1f0f:0x7b18323d90b9481d,28.4027235,-81.428752,Hotel,4.8,45,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd80aaa29f1f0f:0x7b18323d90b9481d?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Casa Florida Hotel,0x88d9b691ab8f10cb:0x30f089ed532e79e1,25.7721275,-80.2017521,Hotel,4.6,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b691ab8f10cb:0x30f089ed532e79e1?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami,Florida,United States
Regency Inn & Suites,0x89c259ac299cc47d:0xbc4bf41867191a8c,40.7515748,-73.9913589,Hotel,4.3,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c259ac299cc47d:0xbc4bf41867191a8c?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Hilton Grand Vacations Sales Center,0x88dd819a82fca7ff:0xeed4314d33992aa5,28.399986799999997,-81.49302229999999,Hotel,4.1,68,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dd819a82fca7ff:0xeed4314d33992aa5?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Baymont Inn & Suites Orlando/ Universal Area,0x88e77ec726eebe09:0x270d9998bbb188f7,28.480908099999997,-81.4524423,Hotel,3.5,13,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e77ec726eebe09:0x270d9998bbb188f7?authuser=-1&hl=en&gl=us,Orange County,Orlando,Florida,United States
Versailles Tower,0x88d9b36a5d8ecc0f:0xc992706c91a98e63,25.818284199999997,-80.1227526,Hotel,4.5,17,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9b36a5d8ecc0f:0xc992706c91a98e63?authuser=-1&hl=en&gl=us,Miami-Dade County,Miami Beach,Florida,United States
Mister H,0x89c259898f86c933:0xd2c096f7fd83ac5a,40.719825,-74.00007599999999,Hotel,3.8,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c259898f86c933:0xd2c096f7fd83ac5a?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
Peninsula Hotel,0x89c258fa4bad1a3d:0x36dd0a0095bae542,40.761626,-73.9754746,Hotel,4.8,14,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89c258fa4bad1a3d:0x36dd0a0095bae542?authuser=-1&hl=en&gl=us,New York County,New York,New York,United States
